Category,Lines,City,Country,Date,Manager,Quantity sold,Sales Revenue,Gross Margin,Discount,Customer Satisfaction,Number of Issues reported,Comments,GMR,Year-Quarter
Jewelry,Accessories,Nairobi,Kenya,12/9/2016  12:00:00 AM,Anne Coke,50.00,123.00,47.00,9.84,0.95,19.00,Customer service,0.38,2016-Q4
"Belts,bags,wallets",Accessories,Nairobi,Kenya,11/23/2016  12:00:00 AM,Anne Coke,"2,100.00","7,498.00","2,841.00",999.70,0.85,25.00,Other / unknown,0.38,2016-Q4
Samples,Accessories,Nairobi,Kenya,11/26/2016  12:00:00 AM,Anne Coke,"1,350.00","3,142.00","1,049.00",293.23,0.91,17.00,Behaviour of personnel,0.33,2016-Q4
"Hats,gloves,scarves",Accessories,Nairobi,Kenya,12/29/2016  12:00:00 AM,Anne Coke,100.00,262.00,84.00,34.90,0.85,12.00,Item defect / bad quality,0.32,2016-Q4
Lounge wear,Accessories,Nairobi,Kenya,12/2/2016  12:00:00 AM,Anne Coke,450.00,"1,092.00",262.00,72.80,0.81,11.00,Item defect / bad quality,0.24,2016-Q4
Hair accessories,Accessories,Nairobi,Kenya,10/31/2016  12:00:00 AM,Anne Coke,350.00,"1,102.00",109.00,132.21,0.91,18.00,Behaviour of personnel,0.10,2016-Q4
Jewelry,Accessories,Shanghai,China,10/16/2016  12:00:00 AM,Coe Li,100.00,196.00,75.00,9.84,0.94,22.00,Other / unknown,0.38,2016-Q4
"Belts,bags,wallets",Accessories,Shanghai,China,12/28/2016  12:00:00 AM,Coe Li,"3,300.00","11,996.00","4,545.00",749.80,0.90,20.00,Price too high / competition,0.38,2016-Q4
Samples,Accessories,Shanghai,China,11/30/2016  12:00:00 AM,Coe Li,"2,100.00","5,027.00","1,678.00",282.78,0.90,12.00,Item defect / bad quality,0.33,2016-Q4
"Hats,gloves,scarves",Accessories,Shanghai,China,12/25/2016  12:00:00 AM,Coe Li,150.00,418.00,135.00,18.34,0.93,25.00,Item not as described,0.32,2016-Q4
Lounge wear,Accessories,Shanghai,China,11/4/2016  12:00:00 AM,Coe Li,700.00,"1,747.00",420.00,98.28,0.86,19.00,Item not as described,0.24,2016-Q4
Hair accessories,Accessories,Shanghai,China,10/3/2016  12:00:00 AM,Coe Li,550.00,"1,763.00",174.00,55.10,0.84,23.00,Item defect / bad quality,0.10,2016-Q4
Jewelry,Accessories,Santiago,Chile,11/18/2016  12:00:00 AM,David Carl,100.00,268.00,135.00,93.90,0.84,15.00,Other / unknown,0.50,2016-Q4
"Belts,bags,wallets",Accessories,Santiago,Chile,11/28/2016  12:00:00 AM,David Carl,"2,550.00","10,135.00","4,227.00",92.61,0.82,19.00,Item not as described,0.42,2016-Q4
Samples,Accessories,Santiago,Chile,10/3/2016  12:00:00 AM,David Carl,"2,950.00","7,047.00","2,340.00","1,049.25",0.85,22.00,Item defect / bad quality,0.33,2016-Q4
Lounge wear,Accessories,Santiago,Chile,10/31/2016  12:00:00 AM,David Carl,450.00,"1,147.00",180.00,135.90,0.88,20.00,Item not as described,0.16,2016-Q4
Hair accessories,Accessories,Santiago,Chile,12/27/2016  12:00:00 AM,David Carl,400.00,952.00,45.00,256.40,0.95,25.00,Item not as described,0.05,2016-Q4
"Hats,gloves,scarves",Accessories,Santiago,Chile,12/31/2016  12:00:00 AM,David Carl,150.00,202.00,57.00,"12,798.60",0.86,21.00,Price too high / competition,0.28,2016-Q4
Samples,Accessories,Amsterdam,Netherlands,11/7/2016  12:00:00 AM,Dell Grass,"2,250.00","5,947.00","2,349.00",455.94,0.86,14.00,Behaviour of personnel,0.39,2016-Q4
"Belts,bags,wallets",Accessories,Amsterdam,Netherlands,10/20/2016  12:00:00 AM,Dell Grass,"4,650.00","17,002.00","6,714.00","1,407.10",0.95,17.00,Customer service,0.39,2016-Q4
"Hats,gloves,scarves",Accessories,Amsterdam,Netherlands,10/31/2016  12:00:00 AM,Dell Grass,800.00,"1,793.00",519.00,"2,573.70",0.89,23.00,Price too high / competition,0.29,2016-Q4
Lounge wear,Accessories,Amsterdam,Netherlands,12/3/2016  12:00:00 AM,Dell Grass,700.00,"1,749.00",429.00,317.20,0.90,13.00,Other / unknown,0.25,2016-Q4
Hair accessories,Accessories,Amsterdam,Netherlands,12/9/2016  12:00:00 AM,Dell Grass,800.00,"2,381.00",142.00,149.64,0.89,22.00,Item defect / bad quality,0.06,2016-Q4
Jewelry,Accessories,Amsterdam,Netherlands,11/29/2016  12:00:00 AM,Dell Grass,100.00,126.00,74.00,"4,602.15",0.82,22.00,Other / unknown,0.59,2016-Q4
Jewelry,Accessories,Rome,Italy,12/9/2016  12:00:00 AM,Don Wilson,250.00,647.00,325.00,"5,923.53",0.83,11.00,Item defect / bad quality,0.50,2016-Q4
"Belts,bags,wallets",Accessories,Milan,Italy,10/4/2016  12:00:00 AM,Don Wilson,"8,500.00","34,446.00","14,367.00","2,565.63",0.82,16.00,Item defect / bad quality,0.42,2016-Q4
"Belts,bags,wallets",Accessories,Rome,Italy,10/2/2016  12:00:00 AM,Don Wilson,"6,100.00","24,493.00","10,214.00","1,621.60",0.89,17.00,Price too high / competition,0.42,2016-Q4
Samples,Accessories,Milan,Italy,10/26/2016  12:00:00 AM,Don Wilson,"4,300.00","11,425.00","4,499.00",103.32,0.82,16.00,Behaviour of personnel,0.39,2016-Q4
"Hats,gloves,scarves",Accessories,Milan,Italy,12/31/2016  12:00:00 AM,Don Wilson,300.00,756.00,272.00,"1,539.95",0.90,25.00,Item not as described,0.36,2016-Q4
Samples,Accessories,Rome,Italy,11/27/2016  12:00:00 AM,Don Wilson,"7,050.00","17,030.00","5,654.00",140.58,0.83,19.00,Behaviour of personnel,0.33,2016-Q4
Lounge wear,Accessories,Rome,Italy,10/24/2016  12:00:00 AM,Don Wilson,"1,100.00","2,771.00",435.00,114.60,0.93,14.00,Item defect / bad quality,0.16,2016-Q4
Lounge wear,Accessories,Milan,Italy,12/8/2016  12:00:00 AM,Don Wilson,"1,600.00","3,301.00",329.00,320.64,0.93,19.00,Item not as described,0.10,2016-Q4
Hair accessories,Accessories,Rome,Italy,10/31/2016  12:00:00 AM,Don Wilson,900.00,"2,300.00",107.00,226.90,0.90,11.00,Behaviour of personnel,0.05,2016-Q4
"Hats,gloves,scarves",Accessories,Rome,Italy,10/29/2016  12:00:00 AM,Don Wilson,300.00,488.00,138.00,13.02,0.90,16.00,Customer service,0.28,2016-Q4
